id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
67523,20,3/13/13,Private Individual,1537,Dmdd,35.66507527,-3.34770932,Kwa Matambi,0,Internal,Kinihe,Arusha,24,30,Karatu,Qurus,300,TRUE,GeoData Consultants Ltd,VWC,Kaviwasu,TRUE,1998,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,coloured,colored,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe
37034,500,3/27/11,Unicef,1489,DWE,34.72199105,-8.86253212,Shuleni,0,Rufiji,Ujindile Kati,Iringa,11,4,Njombe,Ilembula,360,TRUE,GeoData Consultants Ltd,WUA,wanging'ombe supply scheme,TRUE,1978,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe
42432,500,7/4/11,Unicef,1798,DWE,34.70534261,-9.1394961,Kwa Batweli Fute,0,Rufiji,Ngelele,Iringa,11,4,Njombe,Mdandu,45,TRUE,GeoData Consultants Ltd,WUA,wanging'ombe water supply s,TRUE,1978,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe
27420,0,3/14/11,Mkinga Distric Coun,0,DWE,38.83713732,-4.77558442,Kibanga,0,Pangani,Mavovo,Tanga,4,8,Mkinga,Maramba,200,TRUE,GeoData Consultants Ltd,VWC,Bwiti gravity water,TRUE,1971,gravity,gravity,gravity,vwc,user-group,never pay,never pay,coloured,colored,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe
707,1000,2/22/13,Government Of Tanzania,1642,Central govt,37.65808091,-3.7238624,Kwa Juma Sadick,3,Pangani,Chumvu Juu,Kilimanjaro,3,2,Mwanga,Chomvu,45,TRUE,GeoData Consultants Ltd,WUA,Kindoroko water supply,FALSE,1972,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
48489,0,2/27/11,Nethalan,362,DWE,37.47632192,-6.28331307,Shuleni,0,Wami / Ruvu,Msufini,Morogoro,5,6,Mvomero,Hembeti,1,TRUE,GeoData Consultants Ltd,VWC,Dimamba,TRUE,1984,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe
51008,0,3/30/11,Danida,0,DANIDA,33.32603356,-8.88128573,Wangu Simanyana,0,Lake Rukwa,Idugumbe,Mbeya,12,2,Mbeya Rural,Utengule Usongwe,0,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,gravity,gravity,gravity,wug,user-group,pay when scheme fails,on failure,soft,good,dry,dry,river,river/lake,surface,communal standpipe,communal standpipe
72562,50,2/6/13,Jaica,128,Jaica,40.04071287,-10.49203103,Sokoni,0,Ruvuma / Southern Coast,Zambia,Mtwara,99,1,Mtwara Rural,Nanguruwe,400,TRUE,GeoData Consultants Ltd,VWC,Nanguruwe water supply,TRUE,2006,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
10275,0,3/19/11,Government Of Tanzania,216,DWE,38.72134804,-5.17252308,Mashuini,0,Pangani,Mashuini,Tanga,4,3,Muheza,Nkumba,120,TRUE,GeoData Consultants Ltd,VWC,,FALSE,1983,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump
53540,0,10/12/12,World Bank,0,World Bank,33.14491487,-3.71753771,Kwa Kulwa Lusoka,0,Lake Victoria,Kaselya,Shinyanga,17,3,Shinyanga Rural,Usule,0,TRUE,GeoData Consultants Ltd,VWC,Kaselya,TRUE,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
43291,0,8/14/11,Rotary Club,0,Rotary club,33.33199615,-2.70336413,Nyasambi,0,Lake Victoria,Nyasambi,Mwanza,19,4,Kwimba,Ngulla,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,unknown,unknown,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump
8813,0,7/28/11,Ministry Of Water,0,DWE,33.13082951,-3.22665421,Isunda,0,Lake Victoria,Isunda,Mwanza,19,4,Kwimba,Fukalo,0,TRUE,GeoData Consultants Ltd,VWC,KASHWASA,TRUE,0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe
62343,0,4/3/11,Government Of Tanzania,0,Central Government,33.62516779,-8.86101931,Beno,0,Rufiji,Iduda,Mbeya,12,2,Mbeya Rural,Inyala,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,gravity,gravity,gravity,wug,user-group,pay when scheme fails,on failure,soft,good,dry,dry,river,river/lake,surface,communal standpipe,communal standpipe
1649,0,10/15/12,Morovian,0,Morovian,32.35815302,-4.96546043,Jumanne Mihayo,0,Lake Tanganyika,Ugowola A,Tabora,14,3,Uyui,Ufuluma,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,india mark ii,india mark ii,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump
8822,50,3/4/13,Isf/government,1010,ISF/Government,37.70648416,-4.00583487,Mbuyuni,0,Pangani,Kigogo,Kilimanjaro,3,3,Same,Njoro,180,TRUE,GeoData Consultants Ltd,Water authority,Njoishi water supply,TRUE,2007,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe
10352,0,4/12/11,Rc Church,0,RC Church,33.66386327,-8.98179247,Kwa Jailos Nyaranga,0,Rufiji,Matwalani,Mbeya,12,2,Mbeya Rural,Ulenje,0,FALSE,GeoData Consultants Ltd,VWC,,FALSE,0,gravity,gravity,gravity,wug,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe
50878,0,10/16/12,Government Of Tanzania,0,Government,33.77857064,-3.06340514,Mzee Ugali,0,Lake Victoria,Mwankali,Shinyanga,17,2,Maswa,Buchambi,0,TRUE,GeoData Consultants Ltd,Water authority,Maswa Water supply program,FALSE,0,gravity,gravity,gravity,private operator,commercial,pay monthly,monthly,soft,good,enough,enough,dam,dam,surface,communal standpipe,communal standpipe
15266,0,7/23/11,,0,,33.58724528,-9.16743357,Kwa Kajuni,0,Lake Nyasa,Kisungu,Mbeya,12,4,Rungwe,Kiwira,0,TRUE,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
51956,0,3/18/11,Government Of Tanzania,1190,DWE,38.4236917,-4.6312447,Sokoni,0,Pangani,Usagara,Tanga,4,1,Lushoto,Mlola,1,TRUE,GeoData Consultants Ltd,VWC,Muyombo forest,TRUE,1974,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
44099,1500,2/9/13,Danida,642,DANIDA,37.12085919,-10.78502855,Miembeni,0,Ruvuma / Southern Coast,Njawanga,Ruvuma,10,1,Tunduru,Ligunga,1,TRUE,GeoData Consultants Ltd,VWC,,FALSE,1992,swn 80,swn 80,handpump,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump
59,0,10/15/12,Dwssp,0,DWE,33.59072198,-3.71955244,Kwa Chanzula,0,Internal,Sengerema,Shinyanga,17,8,Kishapu,Talaga,0,TRUE,GeoData Consultants Ltd,VWC,Nhobola piped scheme,TRUE,0,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe
51359,0,1/19/13,Jica,-5,DWE,39.56082776,-9.13206159,Ofisini,0,Ruvuma / Southern Coast,Msiteteme,Lindi,80,13,Kilwa,Pande,530,,GeoData Consultants Ltd,VWC,Pande plot Water supply,FALSE,2002,submersible,submersible,submersible,vwc,user-group,unknown,unknown,soft,good,unknown,unknown,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
15962,0,8/1/11,Hesawa,0,Hesawa,0,-2.00E-08,Bombani,0,Lake Victoria,Nyang'Hulukulu,Mwanza,19,6,Geita,Nyang'hwale,0,TRUE,GeoData Consultants Ltd,VWC,Borehole,TRUE,0,other,other,other,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,other,other
17853,0,8/7/11,Hesawa,1226,DWE,33.06230846,-1.82664599,Kulutale,0,Lake Victoria,Kulutale,Mwanza,19,1,Ukerewe,Bwisya,1200,TRUE,GeoData Consultants Ltd,,,TRUE,1999,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,improved spring,improved spring
42040,0,3/30/13,Government Of Tanzania,1387,Government,37.55433946,-3.28942377,Kwa Stefano Kessy,0,Pangani,Kanisani,Kilimanjaro,3,4,Moshi Rural,Mamba Kusini,1,TRUE,GeoData Consultants Ltd,WUA,Matala pipeline,TRUE,1970,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe
72243,0,2/12/13,Danida,805,DANIDA,35.99024647,-10.53404797,Kwa Haji Kuseta,0,Rufiji,Namikurumo,Ruvuma,10,5,Namtumbo,Msindo,250,TRUE,GeoData Consultants Ltd,WUG,,FALSE,1990,swn 80,swn 80,handpump,wug,user-group,pay when scheme fails,on failure,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
63653,0,3/28/13,World Bank,1544,DWE,36.61868919,-3.29203785,Shule Ya Msingi,0,Pangani,Afya,Arusha,2,2,Arusha Rural,Oltrumet,200,TRUE,GeoData Consultants Ltd,VWC,Mlimani pipe line,TRUE,2004,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe
26510,0,10/13/12,World Vision,0,World vision,33.77914543,-3.32682925,Twende Pamoja,0,Internal,Ishima,Shinyanga,17,2,Maswa,Busilili,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,other,other,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
72053,0,8/1/11,Concern,0,TWESA,30.50096464,-2.59036242,Nabagayana,0,Lake Victoria,Kumgogola,Kagera,18,30,Ngara,Mabawe,0,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,other,other
29351,500,10/19/12,People Of Japan,1369,Grobal resource alliance,34.25333419,-1.20066603,Sori B,0,Lake Victoria,Sori,Mara,20,6,Tarime,Goribe,560,TRUE,GeoData Consultants Ltd,VWC,Rural water supply,TRUE,2011,afridev,afridev,handpump,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
51897,0,1/29/13,,1584,,34.85944848,-4.97090922,Mission,0,Internal,Makiungu,Singida,13,2,Singida Rural,Munga'a,1,TRUE,GeoData Consultants Ltd,VWC,,,1990,other,other,other,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,shallow well,shallow well,groundwater,other,other
20376,2400,3/4/11,Danida,1609,DWE,35.10908924,-8.18809279,none,0,Rufiji,M,Iringa,11,2,Mufindi,Igombavanu,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,swn 80,swn 80,handpump,vwc,user-group,pay annually,annually,soft,good,enough,enough,hand dtw,borehole,groundwater,hand pump,hand pump
26804,1000,3/23/11,Solidarm,334,DWE,36.50348726,-8.55105463,Mkombezi,0,Rufiji,Iragua Kati,Morogoro,5,4,Ulanga,Iragua,230,TRUE,GeoData Consultants Ltd,,,TRUE,2010,nira/tanira,nira/tanira,handpump,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
67303,0,3/19/13,Government Of Tanzania,1070,DWE,36.80143513,-3.45135176,Kwa Mama Amani,0,Pangani,Upendo,Arusha,2,2,Arusha Rural,Mlangarini,150,TRUE,GeoData Consultants Ltd,VWC,Machumba estate pipe line,TRUE,1988,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other
69780,0,2/18/13,Government Of Tanzania,1286,District council,37.62786033,-3.13469202,Kwa Mau,0,Pangani,Kala,Kilimanjaro,3,1,Rombo,Kisale Msangara,1,TRUE,GeoData Consultants Ltd,Company,Kisale Kitale water supply,TRUE,1962,gravity,gravity,gravity,company,commercial,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe
45374,0,2/16/13,Dwsp,0,DWE,0,-2.00E-08,Maendeleo,0,Lake Victoria,Magua,Mwanza,17,1,Magu,Nkungulu,0,,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump
54665,7,3/17/13,Germany Republi,1624,CES,37.22900273,-3.18441406,Kwa Mkenya,0,Pangani,Nshironi,Kilimanjaro,3,5,Hai,Machame Kaskazini,1,TRUE,GeoData Consultants Ltd,Water Board,Machame water supply,TRUE,2008,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe
39341,500,2/11/13,Government Of Tanzania,1282,Government,30.12795597,-4.24867926,Kwa Ndade,0,Lake Tanganyika,Mugera,Kigoma,16,2,Kasulu,Muyama,950,TRUE,GeoData Consultants Ltd,Water authority,,FALSE,1978,ksb,submersible,submersible,vwc,user-group,other,other,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe
8869,500,2/3/13,Danida,462,DANIDA,37.45782761,-11.20866259,Kwa Sade,0,Ruvuma / Southern Coast,Ujiranimwema,Ruvuma,10,1,Tunduru,Namasakata,1,TRUE,GeoData Consultants Ltd,VWC,Amani Water Supply,FALSE,1986,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe
