id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
52019,500,7/7/11,European Union,1803,Accra,34.81457364,-9.03250291,Zahanati-Misssion,0,Rufiji,Sokoni,Iringa,11,4,Njombe,Mtwango,250,TRUE,GeoData Consultants Ltd,WUG,Mtwango water supplied sche,TRUE,2011,gravity,gravity,gravity,wug,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
19282,0,1/15/13,,1642,,34.96778863,-4.62892053,Mvae Primary,0,Internal,Mwarufyu,Singida,13,2,Singida Rural,Merya,1,TRUE,GeoData Consultants Ltd,VWC,K,,1980,mono,mono,motorpump,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non functional
1843,20,3/18/13,Government Of Tanzania,1007,DWE,36.80607857,-3.47855934,Kwa Bariki,0,Pangani,Marurani Juu,Arusha,2,2,Arusha Rural,Nduruma,100,TRUE,GeoData Consultants Ltd,VWC,Machumba estate pipe line,TRUE,2000,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
12958,0,10/22/12,World Vision,0,World Vision,33.34526033,-3.83899753,Shimasa,0,Internal,Isenegeja,Shinyanga,17,3,Shinyanga Rural,Samuye,0,TRUE,GeoData Consultants Ltd,WUG,SHIMASA,TRUE,0,windmill,wind-powered,wind-powered,wug,user-group,pay when scheme fails,on failure,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non functional
45111,20,2/5/13,Lga,240,LGA,39.08741514,-11.00060373,Mikoroshini,0,Ruvuma / Southern Coast,Kachulu,Mtwara,90,33,Masasi,Sindano,30,TRUE,GeoData Consultants Ltd,VWC,,TRUE,2004,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
13620,0,7/27/11,,0,,33.5406067,-9.17290468,Mahakamani,0,Lake Nyasa,Mpandapanda,Mbeya,12,4,Rungwe,Kiwira,0,TRUE,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
18864,4000,2/20/11,Cefa,1982,CEFA,35.87141325,-8.22756303,none,0,Rufiji,Mlandege Juu,Iringa,11,7,Kilolo,Boma la ng'ombe,70,TRUE,GeoData Consultants Ltd,VWC,Bomala,TRUE,2003,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
25182,1500,4/4/11,District Council,2169,DWE,34.44128349,-9.18987766,Kwa Bryson Msigwa,0,Rufiji,Ikanga,Iringa,11,4,Njombe,Wangama,20,TRUE,GeoData Consultants Ltd,VWC,wangama water supply scheme,TRUE,2007,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
3228,20,2/21/13,Muwsa,783,MUWSA,37.37285829,-3.34929238,Upendo,0,Pangani,Msaranga Street,Kilimanjaro,3,6,Moshi Urban,Msaranga,10,TRUE,GeoData Consultants Ltd,Water authority,Shirimatunda Water Supply,TRUE,2008,gravity,gravity,gravity,water authority,commercial,pay per bucket,per bucket,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional
19308,0,8/18/11,Dwe/norad,1545,DWE,32.04683486,-8.57166114,Kwa Kobelo,0,Lake Rukwa,Maporomoko,Rukwa,15,2,Sumbawanga Rural,Laela,200,TRUE,GeoData Consultants Ltd,VWC,Laela group water Supp,TRUE,1973,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,river,river/lake,surface,communal standpipe,communal standpipe,non functional
10745,0,7/31/11,Kkkt_makwale,0,KKKT _ Konde and DWE,33.95816322,-9.44812238,Kwa Abeli Mwamakula,0,Lake Nyasa,Isimba,Mbeya,12,3,Kyela,Makwale,0,TRUE,GeoData Consultants Ltd,VWC,Makwale water supplied sche,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
32376,0,8/1/11,Government Of Tanzania,0,Government,0,-2.00E-08,Polisi,0,Lake Victoria,Center,Mwanza,19,6,Geita,Nyang'hwale,0,TRUE,GeoData Consultants Ltd,VWC,Nyang'hwale,TRUE,0,submersible,submersible,submersible,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,non functional
9417,0,7/14/11,Sawaka,0,Artisan,30.98302258,-1.68065404,Sawaka,0,Lake Victoria,Kagoye B,Kagera,18,1,Karagwe,Kiruruma,0,TRUE,GeoData Consultants Ltd,,,TRUE,0,gravity,gravity,gravity,private operator,commercial,never pay,never pay,soft,good,dry,dry,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional
68724,20,2/22/13,Muwsa,766,MUWSA,37.34816881,-3.35653763,Environment,0,Pangani,Dhobi Street,Kilimanjaro,3,6,Moshi Urban,Njoro,1,TRUE,GeoData Consultants Ltd,Water authority,Njoro Water Supply,TRUE,2008,gravity,gravity,gravity,water authority,commercial,pay per bucket,per bucket,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,non functional
74197,6,7/3/13,Ces (gmbh),962,DWE,37.47943592,-3.36819761,Kwa Emanuel Moshi,0,Pangani,Msufini,Kilimanjaro,3,4,Moshi Rural,Kurua Vunjo Mashariki,45,TRUE,GeoData Consultants Ltd,Water Board,Kirua kahe gravity water supply trust,TRUE,2008,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
22961,0,8/3/13,Olgilai Village Community,1583,Olgilai village community,36.72112734,-3.33981163,Zahanati,0,Pangani,Soyekiutu,Arusha,2,2,Arusha Rural,Oltroto,150,TRUE,GeoData Consultants Ltd,VWC,Olgilai pipe line,TRUE,2009,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
24593,0,1/22/13,Kkkt,1703,KKKT,35.56134607,-3.80687858,Kwa Iyora Mgirigisi,0,Internal,Ants B,Manyara,21,3,Mbulu,Bargish,456,,GeoData Consultants Ltd,WUG,,TRUE,2000,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
31714,0,7/7/11,Government Of Tanzania,0,DWE,31.45428168,-1.56388609,Kwa Mzee Max,0,Lake Victoria,Izimbya 'A',Kagera,18,2,Bukoba Rural,Izimbya,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
29952,0,3/13/11,Roman Catholic,190,DWE,38.78943655,-5.11324963,Kwakhalid,0,Pangani,Nairobi,Tanga,4,3,Muheza,Kicheba,200,TRUE,GeoData Consultants Ltd,VWC,Mabula mountains spr,FALSE,1999,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,spring,spring,groundwater,communal standpipe,communal standpipe,functional
40393,0,3/22/11,Government Of Tanzania,1670,DWE,38.37667127,-4.6472895,Kwamussa Chabega,0,Pangani,Nkaloi,Tanga,4,1,Lushoto,Hemtoye,1,TRUE,GeoData Consultants Ltd,VWC,,TRUE,1992,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non functional
2127,500,1/16/13,Norad,954,RWE,29.66972029,-4.77975837,Kwa Jakata,0,Lake Tanganyika,Kiganza Centre,Kigoma,16,3,Kigoma Rural,Kagongo,567,TRUE,GeoData Consultants Ltd,VWC,Mkongoro One,TRUE,1985,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair
8265,0,5/3/13,Adra,1365,Adra /Community,36.94745079,-3.35002587,Thadayo,0,Pangani,Ulkusare,Arusha,2,7,Meru,Kikatiti,130,TRUE,GeoData Consultants Ltd,VWC,Maambreni gravity water supply,TRUE,2002,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,non functional
67433,0,1/19/13,Sema,1538,SEMA,34.76272634,-4.30776106,Kitumba,0,Internal,Mzimba,Singida,13,1,Iramba,Nduguti,225,TRUE,GeoData Consultants Ltd,WUG,Mwando water supply,TRUE,2004,afridev,afridev,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,functional
51072,0,2/9/13,,1415,,34.62159801,-5.17313618,Nyambi,0,Internal,Mfumbu,Singida,13,2,Singida Rural,Naintiri,1,TRUE,GeoData Consultants Ltd,VWC,M,,1970,mono,mono,motorpump,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non functional
34255,0,2/22/11,Piusi,1788,SHIPO,34.89725735,-9.2035221,Kwa Piusi,0,Rufiji,Mahalule,Iringa,11,4,Njombe,Ikuka,50,TRUE,GeoData Consultants Ltd,Private operator,,TRUE,2010,other - rope pump,rope pump,rope pump,private operator,commercial,never pay,never pay,soft,good,enough,enough,hand dtw,borehole,groundwater,hand pump,hand pump,functional
22108,0,7/31/11,Government Of Tanzania,0,DWE,30.71609028,-1.2857798,Kwashuza,0,Lake Victoria,Kihanga,Kagera,18,1,Karagwe,Isingiro,0,TRUE,GeoData Consultants Ltd,WUG,Kaisho/Isingiro w,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,spring,spring,groundwater,other,other,non functional
4720,0,1/4/11,Unicef,1366,DWE,34.55789311,-8.88959406,Kwa Mulumbage,0,Rufiji,Iponda,Iringa,11,4,Njombe,Ilembula,54,TRUE,GeoData Consultants Ltd,WUA,wanging'ombe supply scheme,TRUE,1978,gravity,gravity,gravity,wua,user-group,pay when scheme fails,on failure,soft,good,dry,dry,river,river/lake,surface,communal standpipe,communal standpipe,non functional
54801,0,2/4/13,Government Of Tanzania,1694,DWE,29.76800862,-4.47180947,Zahanati,0,Lake Tanganyika,Kisoro,Kigoma,16,2,Kigoma Rural,Mkigo,1,TRUE,GeoData Consultants Ltd,Water authority,,FALSE,2004,other,other,other,private operator,commercial,never pay,never pay,soft,good,dry,dry,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,non functional
